"name","mz","rt","Annotation.type","annotated.from.ID","annotated.from.peak","ID","compound.name","isotope","adduct","Formula","score","peak.group","confidence"
"M358T466_NEG",358.21629,466.007,"isotopeAnnotation","C02165","M357T466_NEG","C02165","Leukotriene B4","[M+1]","M-2H+Na","C20H32O4","0.565581725","C02165_5","grade2"
"M388T380_NEG",388.22885,380.129,"metAnnotation","C04853","M373T486_NEG","C02165","Leukotriene B4","[M]","M+Cl+NH3","C20H32O4","0.763467874","C02165_2","grade2"
"M388T466_NEG",388.22656,466.253,"adductAnnotation","C02165","M357T466_NEG","C02165","Leukotriene B4","[M]","M+Cl+NH3","C20H32O4","0.942990017","C02165_5","grade2"
"M371T600_NEG",371.19427,600.2,"metAnnotation","C05949","M355T539_NEG","C02165","Leukotriene B4","[M]","M+Cl","C20H32O4","0.153805796","C02165_6","grade3"
"M389T466_NEG",389.22882,465.709,"isotopeAnnotation","C02165","M388T466_NEG","C02165","Leukotriene B4","[M+1]","M+Cl+NH3","C20H32O4","0.911013912","C02165_5","grade2"
"M389T380_NEG",389.22865,379.8855,"isotopeAnnotation","C02165","M388T380_NEG","C02165","Leukotriene B4","[M+1]","M+Cl+NH3","C20H32O4","0.943320512","C02165_2","grade2"
"M357T466_NEG",357.21301,466.2655,"adductAnnotation","C02165","M388T466_NEG","C02165","Leukotriene B4","[M]","M-2H+Na","C20H32O4","0.556280167","C02165_5","grade2"
"M358T441_NEG",358.21649,441.074,"isotopeAnnotation;isotopeAnnotation","C02165;C05356","M357T441_NEG;M357T441_NEG","C02165;C05356","Leukotriene B4;5(S)-HPETE","[M+1];[M+1]","M-2H+Na;M-2H+Na","C20H32O4;C20H32O4","0.530774439801573;0.530774439801573","C02165_4;C05356_1","grade2;grade2"
"M202T653_NEG",202.03306,652.955,"metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation","C06393;C06393;C04376;C06393;C06393;C04484;C20910","M141T649_NEG;M141T649_NEG;M156T673_NEG;M141T649_NEG;M141T649_NEG;M238T679_NEG;M358T655_NEG","C02167;C02514;C04484;C01127;C05946;C05375;C12323","Maleylpyruvate;3-Fumarylpyruvate;4-Carboxy-2-hydroxymuconate semialdehyde;4-Hydroxy-2-oxoglutarate;(4R)-4-Hydroxy-2-oxoglutarate;2-Hydroxy-2-hydropyrone-4,6-dicarboxylate;L-4-Hydroxyphenylglycine","[M];[M];[M];[M];[M];[M];[M]","M-H+NH3;M-H+NH3;M-H+NH3;M-H+CH3CN;M-H+CH3CN;M-H+NH3;M+Cl","C7H6O6;C7H6O6;C7H6O6;C5H6O6;C5H6O6;C7H6O6;C8H9NO3","0.931071667667588;0.931071667667588;0.888232504375483;0.859714988651522;0.859714988651522;0.434414322415897;0.397713762125659","C12323_3;C01127_3;C05946_3;C02167_1;C02514_1;C04484_1;C05375_1","grade2;grade2;grade2;grade2;grade2;grade2;grade2"
"M610T802_NEG",610.07876,802.109,"isotopeAnnotation","C02199","M609T802_NEG","C02199","UDP-L-rhamnose","[M+1]","M+CH3COO","C15H24N2O16P2","0.912637721","C02199_1","grade2"
"M609T802_NEG",609.07319,802.245,"metAnnotation","C00015","M444T811_NEG","C02199","UDP-L-rhamnose","[M]","M+CH3COO","C15H24N2O16P2","0.955764059","C02199_1","grade2"
"M551T829_NEG",551.05649,829.447,"isotopeAnnotation","C02199","M549T829_NEG","C02199","UDP-L-rhamnose","[M+2]","M-H","C15H24N2O16P2","0.92658195","C02199_2","grade2"
"M571T829_NEG",571.03504,829.269,"adductAnnotation","C02199","M549T829_NEG","C02199","UDP-L-rhamnose","[M]","M-2H+Na","C15H24N2O16P2","0.957606347","C02199_2","grade2"
"M549T829_NEG",549.05263,829.186,"adductAnnotation;metAnnotation","C02199;C11922","M571T829_NEG;M565T843_NEG","C02199;C18032","UDP-L-rhamnose;dTDP-4-oxo-2,3,6-trideoxy-D-glucose","[M];[M]","M-H;M+Cl","C15H24N2O16P2;C16H24N2O13P2","0.973486234894447;0.768992264277197","C18032_1;C02199_2","grade2;grade2"
"M550T829_NEG",550.05617,829.3525,"isotopeAnnotation;isotopeAnnotation","C02199;C18032","M549T829_NEG;M549T829_NEG","C02199;C18032","UDP-L-rhamnose;dTDP-4-oxo-2,3,6-trideoxy-D-glucose","[M+1];[M+1]","M-H;M+Cl","C15H24N2O16P2;C16H24N2O13P2","0.950696064898967;0.68595797047418","C18032_1;C02199_2","grade2;grade2"
"M299T567_NEG",299.09713,567.157,"seed",NA,NA,"C02204","alpha-D-Lyxose","[M]","2M-H","C5H10O5","0.845124319","C02204_2","grade1"
"M149T567_NEG",149.04525,567.2855,"adductAnnotation","C02204","M131T567_NEG","C02204","alpha-D-Lyxose","[M]","M-H","C5H10O5","0.979506583","C02204_2","grade1"
"M131T567_NEG",131.03582,567.238,"adductAnnotation","C02204","M149T567_NEG","C02204","alpha-D-Lyxose","[M]","M-H-H2O","C5H10O5","0.922771583","C02204_2","grade1"
"M133T567_NEG",133.03418,567.463,"isotopeAnnotation","C02204","M131T567_NEG","C02204","alpha-D-Lyxose","[M+2]","M-H-H2O","C5H10O5","0.65001141","C02204_2","grade1"
"M209T286_NEG",209.06653,285.8805,"adductAnnotation;adductAnnotation;adductAnnotation;adductAnnotation","C02204;C00121;C00259;C00181","M131T285_NEG;M131T285_NEG;M131T285_NEG;M131T285_NEG","C02204;C00121;C00259;C00181","alpha-D-Lyxose;D-Ribose;L-Arabinose;D-Xylose","[M];[M];[M];[M]","M+CH3COO;M+CH3COO;M+CH3COO;M+CH3COO","C5H10O5;C5H10O5;C5H10O5;C5H10O5","0.872809916666587;0.872809916666587;0.872809916666587;0.872809916666587","C00259_1;C00181_1;C00121_1;C02204_1","grade1;grade1;grade1;grade1"
"M149T285_NEG",149.04544,285.218,"adductAnnotation;adductAnnotation;adductAnnotation;adductAnnotation","C02204;C00121;C00259;C00181","M131T285_NEG;M131T285_NEG;M131T285_NEG;M131T285_NEG","C02204;C00121;C00259;C00181","alpha-D-Lyxose;D-Ribose;L-Arabinose;D-Xylose","[M];[M];[M];[M]","M-H;M-H;M-H;M-H","C5H10O5;C5H10O5;C5H10O5;C5H10O5","0.974589916665593;0.974589916665593;0.974589916665593;0.974589916665593","C00259_1;C00181_1;C00121_1;C02204_1","grade1;grade1;grade1;grade1"
"M131T285_NEG",131.03557,285.238,"adductAnnotation;adductAnnotation;adductAnnotation;adductAnnotation","C02204;C00121;C00259;C00181","M149T285_NEG;M149T285_NEG;M149T285_NEG;M149T285_NEG","C02204;C00121;C00259;C00181","alpha-D-Lyxose;D-Ribose;L-Arabinose;D-Xylose","[M];[M];[M];[M]","M-H-H2O;M-H-H2O;M-H-H2O;M-H-H2O","C5H10O5;C5H10O5;C5H10O5;C5H10O5","0.939854916665752;0.939854916665752;0.939854916665752;0.939854916665752","C00259_1;C00181_1;C00121_1;C02204_1","grade1;grade1;grade1;grade1"
"M210T286_NEG",210.06938,286.009,"isotopeAnnotation;isotopeAnnotation;isotopeAnnotation;isotopeAnnotation","C02204;C00121;C00259;C00181","M209T286_NEG;M209T286_NEG;M209T286_NEG;M209T286_NEG","C02204;C00121;C00259;C00181","alpha-D-Lyxose;D-Ribose;L-Arabinose;D-Xylose","[M+1];[M+1];[M+1];[M+1]","M+CH3COO;M+CH3COO;M+CH3COO;M+CH3COO","C5H10O5;C5H10O5;C5H10O5;C5H10O5","0.971295941261483;0.971295941261483;0.971295941261483;0.971295941261483","C00259_1;C00181_1;C00121_1;C02204_1","grade1;grade1;grade1;grade1"
"M150T285_NEG",150.0483,285.329,"isotopeAnnotation;isotopeAnnotation;isotopeAnnotation;isotopeAnnotation","C02204;C00121;C00259;C00181","M149T285_NEG;M149T285_NEG;M149T285_NEG;M149T285_NEG","C02204;C00121;C00259;C00181","alpha-D-Lyxose;D-Ribose;L-Arabinose;D-Xylose","[M+1];[M+1];[M+1];[M+1]","M-H;M-H;M-H;M-H","C5H10O5;C5H10O5;C5H10O5;C5H10O5","0.974634076816106;0.974634076816106;0.974634076816106;0.974634076816106","C00259_1;C00181_1;C00121_1;C02204_1","grade1;grade1;grade1;grade1"
"M299T285_NEG",299.09779,285.0305,"seed;seed;seed;seed","NA;NA;NA;NA","NA;NA;NA;NA","C02204;C00121;C00259;C00181","alpha-D-Lyxose;D-Ribose;L-Arabinose;D-Xylose","[M];[M];[M];[M]","2M-H;2M-H;2M-H;2M-H","C5H10O5;C5H10O5;C5H10O5;C5H10O5","0.913963746885044;0.783852333464401;0.754763746885044;0.641963746885044","C00259_1;C00181_1;C00121_1;C02204_1","grade1;grade1;grade1;grade1"
"M300T285_NEG",300.10174,285.03,"isotopeAnnotation;isotopeAnnotation;isotopeAnnotation;isotopeAnnotation","C02204;C00121;C00259;C00181","M299T285_NEG;M299T285_NEG;M299T285_NEG;M299T285_NEG","C02204;C00121;C00259;C00181","alpha-D-Lyxose;D-Ribose;L-Arabinose;D-Xylose","[M+1];[M+1];[M+1];[M+1]","2M-H;2M-H;2M-H;2M-H","C5H10O5;C5H10O5;C5H10O5;C5H10O5","0.960535172404651;0.960535172404651;0.960535172404651;0.960535172404651","C00259_1;C00181_1;C00121_1;C02204_1","grade1;grade1;grade1;grade1"
